Catchment,Domain,Indicator,Unit,Sheep + Beef  (SEPP),Sheep + Beef  (Non-SEPP),Dairy (SEPP),Dairy (Non-SEPP),Dairy support/high intensity beef or dairy grazing (SEPP),Dairy support/high intensity beef or dairy grazing (Non-SEPP),Deer (SEPP),Deer (Non-SEPP),Arable/vegetables,Kiwifruit,Other horticulture,Forestry - Exotic,Forestry - Indigenous pre-1990,Forestry - Indigenous post-1989,Parks and Recreation,Wetlands,Urban/road/rail,Lifestyle block or mixed land use (SEPP),Lifestyle block or mixed land use (Non-SEPP),Hydro,Other,Scrub,Custom Land Use A,Custom Land Use B,Custom Land Use C
East Coast,Economic,Value-added - Direct impact,$/ha/year,429.0,608.0,2421.0,5764.0,421.0,1003.0,190.0,452.0,3566.0,72884.0,18890.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Economic,Value-added - Direct & indirect impacts,$/ha/year,668.0,948.0,3205.0,7632.0,558.0,1328.0,307.0,731.0,5557.0,110169.0,28554.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Economic,"Value-added - Direct, indirect & induced impacts",$/ha/year,793.0,1125.0,3883.0,9245.0,676.0,1609.0,378.0,899.0,6595.0,136018.0,35254.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Economic,Employment - Direct impact,MEC/ha,0.0033,0.0046,0.0118,0.0281,0.0021,0.0049,0.0038,0.009,0.0271,0.3004,0.0778,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Economic,Employment - Direct & indirect impacts,MEC/ha,0.0055,0.0078,0.0199,0.0473,0.0035,0.0082,0.005,0.0118,0.0459,0.7115,0.1844,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Economic,"Employment - Direct, indirect & induced impacts",MEC/ha,0.0059,0.0084,0.0218,0.0519,0.0038,0.009,0.0052,0.0125,0.0492,0.7859,0.2037,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Economic,Land value,$/ha,4103.0,4103.0,12465.0,12465.0,4103.0,4103.0,30391.0,30391.0,124485.0,67099.0,71671.0,1032.0,905.0,905.0,1721.0,0.0,2076125.0,101873.0,101873.0,0.0,15773.0,0.0,0.0,0.0,0.0
East Coast,Economic,Income,$/ha,164.2377,228.9374,692.8016,1649.8072,102.8412,239.9628,191.1096,452.628,1010.0169999999999,11506.5216,2980.0512,39.542500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Environmental,N loss,kg/ha/year,28.0,28.0,38.0,38.0,28.0,28.0,25.0,25.0,60.0,25.0,27.0,2.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Environmental,P loss,kg/ha/year,2.3,2.3,1.3,1.3,2.0,2.0,1.5,1.5,2.4,0.5,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Environmental,Sediment loss,Scoring,2.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,6.0,7.0,8.0,8.0,9.0,8.0,10.0,4.0,3.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0
East Coast,Environmental,E.coli loss,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0
East Coast,Environmental,River water quality,Scoring,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,10.0,4.0,2.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0
East Coast,Environmental,Freshwater invertebrates,Scoring,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,6.0,10.0,2.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
East Coast,Environmental,Estuarine health,Scoring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Coast,Environmental,Groundwater quality,Scoring,6.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,10.0,4.0,4.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0
East Coast,Environmental,Pressure on water quantity,Scoring,10.0,10.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
