Land Use,East Coast,Kaituna,Motiti,Ōhiwa Harbour,Rangitāiki,Tarawera,Tauranga Moana,Rotorua Te Arawa Lakes,Waihī Estuary,Waioeka-Otara,Waiōtahe,Waitahanui,Whakatāne,Custom Catchment
Sheep + Beef (SEPP),655.0,503.0,0.0,387.0,85.0,58.0,285.0,335.0,609.0,460.0,0.0,254.0,296.0,3927.0
Sheep + Beef (Non-SEPP),6149.0,8568.0,466.0,2031.0,13823.0,3121.0,12539.0,12548.0,3141.0,3686.0,552.0,6014.0,3225.0,75863.0
Dairy (SEPP),2.0,89.0,0.0,458.0,14.0,50.0,110.0,1.0,661.0,41.0,5.0,212.0,183.0,1826.0
Dairy (Non-SEPP),1850.0,11193.0,0.0,4421.0,20897.0,11535.0,10554.0,8065.0,12830.0,4727.0,2860.0,3760.0,14175.0,106867.0
Dairy support/high intensity beef or dairy grazing (SEPP),0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.0,275.0,0.0,0.0,4.0,2.0,348.0
Dairy support/high intensity beef or dairy grazing (Non-SEPP),434.0,172.0,0.0,0.0,4160.0,0.0,0.0,4056.0,1256.0,411.0,0.0,12.0,1915.0,12416.0
Deer (SEPP),0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,38.0
Deer (Non-SEPP),0.0,129.0,0.0,0.0,4788.0,75.0,354.0,801.0,208.0,16.0,15.0,0.0,0.0,6386.0
Arable/vegetables,1309.0,889.0,0.0,43.0,2622.0,1047.0,987.0,173.0,172.0,518.0,35.0,386.0,2279.0,10460.0
Kiwifruit,435.0,4486.0,0.0,28.0,825.0,250.0,4457.0,1.0,2447.0,813.0,150.0,435.0,135.0,14462.0
Other horticulture,223.0,2189.0,165.0,43.0,314.0,223.0,6261.0,179.0,731.0,444.0,79.0,75.0,173.0,11099.0
Forestry - Exotic,15017.0,12597.0,0.0,4183.0,156635.0,28957.0,13107.0,19310.0,7106.0,3888.0,2409.0,8874.0,12776.0,284859.0
Forestry - Indigenous pre-1990,158241.0,15312.0,54.0,5366.0,82431.0,15547.0,48918.0,27571.0,4459.0,79941.0,8549.0,4420.0,137550.0,588359.0
Forestry - Indigenous post-1989,464.0,48.0,0.0,27.0,144.0,42.0,86.0,131.0,14.0,337.0,3.0,16.0,182.0,1494.0
Parks and Recreation,96.0,11.0,0.0,53.0,91.0,232.0,564.0,322.0,0.0,154.0,40.0,14.0,138.0,1715.0
Wetlands,248.0,639.0,7.0,127.0,1454.0,597.0,1215.0,700.0,179.0,60.0,15.0,52.0,133.0,5426.0
Urban/road/rail,483.0,1771.0,0.0,537.0,1622.0,1346.0,11320.0,5431.0,609.0,777.0,144.0,272.0,1835.0,26147.0
Lifestyle block or mixed land use (SEPP),0.0,4.0,0.0,62.0,0.0,3.0,67.0,7.0,24.0,2.0,1.0,9.0,26.0,205.0
Lifestyle block or mixed land use (Non-SEPP),585.0,810.0,0.0,735.0,1146.0,2328.0,15627.0,4109.0,701.0,540.0,345.0,580.0,1461.0,28967.0
Hydro,1513.0,266.0,0.0,109.0,1588.0,478.0,591.0,21210.0,106.0,743.0,139.0,56.0,1475.0,28274.0
Other,10.0,12.0,4.0,10.0,3.0,18.0,17.0,0.0,30.0,6.0,10.0,52.0,5.0,177.0
Scrub,262.0,179.0,0.0,124.0,851.0,169.0,599.0,572.0,145.0,195.0,15.0,29.0,143.0,3283.0
Custom Land Use A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Land Use B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Custom Land Use C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
